event_time,coef,se,ci_lo,ci_hi,policy,nobs,ban_type
4,-0.09158335572380638,0.8981146727122042,-1.8518881142397268,1.668721402792114,policy_bullockslaughterbans_year,1408,bullock
5,0.06629005529449294,0.9574748679502976,-1.8103606858880903,1.9429407964770762,policy_bullockslaughterbans_year,1408,bullock
6,-0.24266469846952754,0.7751614259018855,-1.761981093237223,1.276651696298168,policy_bullockslaughterbans_year,1408,bullock
7,-0.07879915168991602,0.8060806145624481,-1.6587171562323142,1.5011188528524821,policy_bullockslaughterbans_year,1408,bullock
8,0.3904215117685085,1.008991721350767,-1.587202262078995,2.368045285616012,policy_bullockslaughterbans_year,1408,bullock
9,0.4049425911257143,0.9744757158751003,-1.5050298119894823,2.314914994240911,policy_bullockslaughterbans_year,1408,bullock
10,0.5310043952478596,0.8134248081598552,-1.0633082287454565,2.1253170192411757,policy_bullockslaughterbans_year,1408,bullock
-10,0.0,0.0,0.0,0.0,policy_buffaloslaughterbans_year,1408,buffalo
-9,0.9610026670241476,0.9513704719836261,-0.9036834580637596,2.8256887921120546,policy_buffaloslaughterbans_year,1408,buffalo
-8,1.1068308947509036,0.8170033863507342,-0.4944957424965355,2.7081575319983426,policy_buffaloslaughterbans_year,1408,buffalo
-7,-1.1513305456967313,1.2415163091982155,-3.584702511725234,1.282041420331771,policy_buffaloslaughterbans_year,1408,buffalo
-6,-1.126226588222228,1.9885684224914895,-5.023820696305547,2.7713675198610916,policy_buffaloslaughterbans_year,1408,buffalo
-5,-0.037290365382128376,1.419872300610228,-2.8202400745781757,2.7456593438139185,policy_buffaloslaughterbans_year,1408,buffalo
-4,-1.4015068891641538,1.0587530796557798,-3.476662925289482,0.6736491469611745,policy_buffaloslaughterbans_year,1408,buffalo
-3,-0.4434399933970168,0.9114837372151471,-2.2299481183387053,1.3430681315446715,policy_buffaloslaughterbans_year,1408,buffalo
-2,0.4296708414757586,1.5892144847259786,-2.6851895485871595,3.5445312315386768,policy_buffaloslaughterbans_year,1408,buffalo
-1,0.15416745209201543,0.9213469463654587,-1.6516725627842836,1.9600074669683143,policy_buffaloslaughterbans_year,1408,buffalo
0,0.6405195489252271,0.9444207414122646,-1.2105451042428115,2.4915842020932657,policy_buffaloslaughterbans_year,1408,buffalo
1,1.8393327416060306,1.0723145696142027,-0.2624038148378065,3.9410692980498676,policy_buffaloslaughterbans_year,1408,buffalo
2,0.40231271086311304,1.3335547311666422,-2.211454562223506,3.016079983949732,policy_buffaloslaughterbans_year,1408,buffalo
3,-0.5199835424176715,0.6939585010795591,-1.8801422045336074,0.8401751196982643,policy_buffaloslaughterbans_year,1408,buffalo
4,1.6986727763485092,0.9568251858016943,-0.1767045878228115,3.57405014051983,policy_buffaloslaughterbans_year,1408,buffalo
5,0.7730354048426316,0.9927622357439365,-1.172778577215484,2.718849386900747,policy_buffaloslaughterbans_year,1408,buffalo
6,0.25694513231136673,1.0825285742261408,-1.8648108731718693,2.378701137794603,policy_buffaloslaughterbans_year,1408,buffalo
7,0.24865840838976158,0.5365069663279718,-0.8028952456130631,1.3002120623925864,policy_buffaloslaughterbans_year,1408,buffalo
8,0.08162131045198895,1.0439046277722122,-1.9644317599815466,2.1276743808855247,policy_buffaloslaughterbans_year,1408,buffalo
9,1.084822437914065,0.8592021407692938,-0.5992137579937509,2.768858633821881,policy_buffaloslaughterbans_year,1408,buffalo
10,0.7623691512997843,1.043022739386244,-1.2819554178972536,2.8066937204968223,policy_buffaloslaughterbans_year,1408,buffalo
