estimator,event_time,coef,se,ban_type
Gardner (2021),-10,0.0,0.0,bullock
Cengiz et al. (2019),-9,0.2949659986322893,0.4373818054260538,bullock
Cengiz et al. (2019),-8,-0.035316668025003495,0.284050901971335,bullock
Cengiz et al. (2019),-7,-0.04863574358563594,0.3290334114604285,bullock
Cengiz et al. (2019),-6,0.35457421501214137,0.30569940776454796,bullock
Cengiz et al. (2019),-5,0.5254049171494475,0.21921389483400394,bullock
Cengiz et al. (2019),-4,0.22317900554954467,0.2370481032445049,bullock
Cengiz et al. (2019),-3,0.8491972118718683,0.21651054965717537,bullock
Cengiz et al. (2019),-2,0.6617246490039017,0.26455771059484817,bullock
Cengiz et al. (2019),-1,0.6735119720061921,0.2048204542925509,bullock
Cengiz et al. (2019),0,1.0199613326456642,0.24893150262832658,bullock
Cengiz et al. (2019),1,0.9568185237023692,0.3518633275033328,bullock
Cengiz et al. (2019),2,0.7970055656175137,0.3179111608626188,bullock
Cengiz et al. (2019),3,0.9374168956673078,0.313110375855296,bullock
Cengiz et al. (2019),4,0.9759860070193256,0.3548163797845958,bullock
Cengiz et al. (2019),5,1.132873227049755,0.322611217745983,bullock
Cengiz et al. (2019),6,1.1624432526952764,0.3307772685582783,bullock
Cengiz et al. (2019),7,0.9883505136592606,0.3299806424880793,bullock
Cengiz et al. (2019),8,1.0609746643651747,0.38473964096281965,bullock
Cengiz et al. (2019),9,1.146194863489088,0.4845345195011154,bullock
Cengiz et al. (2019),10,1.0718599144761232,0.4266714067910213,bullock
Cengiz et al. (2019),-10,0.0,0.0,bullock
Liu et al. (2022),-9,0.6456392124833416,2.8972768523157924,bullock
Liu et al. (2022),-8,-0.3814240075415345,4.962740658366809,bullock
Liu et al. (2022),-7,-1.404481568271455,7.188011748053297,bullock
Liu et al. (2022),-6,0.2213166700723323,5.174809380353398,bullock
Liu et al. (2022),-5,1.1548030845642376,5.532773463619418,bullock
Liu et al. (2022),-4,-1.8177330296696814,5.79034750559904,bullock
Liu et al. (2022),-3,-1.5555888076517792,4.314158257321702,bullock
Liu et al. (2022),-2,-2.191436114070406,4.919706742546702,bullock
Liu et al. (2022),-1,-1.4815918802328647,5.789544231685322,bullock
Liu et al. (2022),0,-2.221442245309366,5.477857051282849,bullock
Liu et al. (2022),1,-1.4197796693216218,4.794937122409952,bullock
Liu et al. (2022),2,-0.18177622962917922,3.239021812367666,bullock
Liu et al. (2022),3,-0.8528246722808557,2.289815746925994,bullock
Liu et al. (2022),4,-1.5333636345164048,2.917470948992158,bullock
Liu et al. (2022),5,-0.9130004558442264,2.668869021613229,bullock
Liu et al. (2022),6,-1.0520055624316134,3.027720810889233,bullock
Liu et al. (2022),7,-0.6444913414248294,2.889608836881087,bullock
Liu et al. (2022),8,0.09000844511201947,3.459540594133595,bullock
Liu et al. (2022),9,-0.31079090179198315,2.9621836463736457,bullock
Liu et al. (2022),10,-1.7525367156649148,2.8337586593100705,bullock
